Predicted values against Expected values.....

Test Day=81, Predicted=14.797592, Expected=15.254074
Test Day=82, Predicted=15.263767, Expected=15.234859
Test Day=83, Predicted=15.249579, Expected=14.972243
Test Day=84, Predicted=14.981043, Expected=14.997865
Test Day=85, Predicted=15.004859, Expected=14.994661
Test Day=86, Predicted=15.003337, Expected=14.914597
Test Day=87, Predicted=14.922766, Expected=14.655184
Test Day=88, Predicted=14.659558, Expected=14.607145
Test Day=89, Predicted=14.610464, Expected=14.504661
Test Day=90, Predicted=14.508875, Expected=14.735250
Test Day=91, Predicted=14.743763, Expected=14.700021
Test Day=92, Predicted=14.711266, Expected=15.446231
Test Day=93, Predicted=15.464705, Expected=15.414205
Test Day=94, Predicted=15.437111, Expected=15.404597
Test Day=95, Predicted=15.421838, Expected=15.465446
Test Day=96, Predicted=15.480792, Expected=15.308518
Test Day=97, Predicted=15.320435, Expected=15.596754
Test Day=98, Predicted=15.609997, Expected=15.721656
Test Day=99, Predicted=15.738610, Expected=15.427015
Test Day=100, Predicted=15.438398, Expected=15.481460
Test Day=101, Predicted=15.490014, Expected=15.334140
Test Day=102, Predicted=15.342082, Expected=15.180413
Test Day=103, Predicted=15.185515, Expected=15.311721
Test Day=104, Predicted=15.319082, Expected=15.234859
Test Day=105, Predicted=15.243796, Expected=15.250872
Test Day=106, Predicted=15.259716, Expected=14.972243
Test Day=107, Predicted=14.977812, Expected=14.770478
Test Day=108, Predicted=14.771995, Expected=14.732047
Test Day=109, Predicted=14.734465, Expected=14.709629
Test Day=110, Predicted=14.714489, Expected=14.703223
Test Day=111, Predicted=14.709897, Expected=14.741655
Test Day=112, Predicted=14.750228, Expected=14.474794
Test Day=113, Predicted=14.480556, Expected=14.230439
Test Day=114, Predicted=14.231518, Expected=14.072895
Test Day=115, Predicted=14.072823, Expected=14.066464
Test Day=116, Predicted=14.068778, Expected=14.124338
Test Day=117, Predicted=14.130542, Expected=14.015021
Test Day=118, Predicted=14.021885, Expected=13.777098
Test Day=119, Predicted=13.780628, Expected=14.015021
Test Day=120, Predicted=14.021820, Expected=14.130769
Test Day=121, Predicted=14.143099, Expected=14.204718
Test Day=122, Predicted=14.218382, Expected=14.580895
Test Day=123, Predicted=14.598584, Expected=14.468364
Test Day=124, Predicted=14.485711, Expected=14.661275
Test Day=125, Predicted=14.677011, Expected=14.770592
Test Day=126, Predicted=14.787853, Expected=14.545528
Test Day=127, Predicted=14.558054, Expected=14.339756
Test Day=128, Predicted=14.346073, Expected=14.539098
Test Day=129, Predicted=14.547544, Expected=14.362262
Test Day=130, Predicted=14.371169, Expected=14.632339
Test Day=131, Predicted=14.643270, Expected=14.625908
Test Day=132, Predicted=14.639536, Expected=14.793097
Test Day=133, Predicted=14.807442, Expected=15.104972
Test Day=134, Predicted=15.123439, Expected=15.153199
Test Day=135, Predicted=15.172483, Expected=14.860617
Test Day=136, Predicted=14.872662, Expected=15.014946
Test Day=137, Predicted=15.025243, Expected=14.825250
Test Day=138, Predicted=14.834709, Expected=14.301173
Test Day=139, Predicted=14.300653, Expected=14.211148
Test Day=140, Predicted=14.208107, Expected=14.461933
Test Day=141, Predicted=14.466673, Expected=14.468364
Test Day=142, Predicted=14.478006, Expected=14.400845
Test Day=143, Predicted=14.409768, Expected=14.230439
Test Day=144, Predicted=14.236773, Expected=14.339756
Test Day=145, Predicted=14.347340, Expected=14.172565
Test Day=146, Predicted=14.180080, Expected=14.117908
Test Day=147, Predicted=14.123930, Expected=14.371908
Test Day=148, Predicted=14.382380, Expected=14.342971
Test Day=149, Predicted=14.355738, Expected=14.429781
Test Day=150, Predicted=14.442355, Expected=14.629123
Test Day=151, Predicted=14.644368, Expected=14.664491
Test Day=152, Predicted=14.680449, Expected=14.683782
Test Day=153, Predicted=14.698170, Expected=14.725579
Test Day=154, Predicted=14.739220, Expected=14.802744
Test Day=155, Predicted=14.816632, Expected=15.297883
Test Day=156, Predicted=15.317001, Expected=15.339681
Test Day=157, Predicted=15.361295, Expected=15.285023
Test Day=158, Predicted=15.301835, Expected=15.606542
Test Day=159, Predicted=15.624243, Expected=15.532592
Test Day=160, Predicted=15.550009, Expected=15.513301
Test Day=161, Predicted=15.526842, Expected=15.899124
Test Day=162, Predicted=15.915980, Expected=15.821959
Test Day=163, Predicted=15.839471, Expected=15.596896
Test Day=164, Predicted=15.607476, Expected=15.391124
Test Day=165, Predicted=15.396350, Expected=15.336466
Test Day=166, Predicted=15.340881, Expected=15.686921
Test Day=167, Predicted=15.697553, Expected=15.648339
Test Day=168, Predicted=15.662107, Expected=15.915200
Test Day=169, Predicted=15.930438, Expected=16.220644
Test Day=170, Predicted=16.240652, Expected=15.918415
Test Day=171, Predicted=15.933554, Expected=15.989149
Test Day=172, Predicted=16.000019, Expected=16.059883
Test Day=173, Predicted=16.072462, Expected=16.198137
Test Day=174, Predicted=16.212406, Expected=15.962586
Test Day=175, Predicted=15.973468, Expected=15.972266
Test Day=176, Predicted=15.980536, Expected=15.601193
Test Day=177, Predicted=15.604940, Expected=15.101052
Test Day=178, Predicted=15.095481, Expected=15.497938
Test Day=179, Predicted=15.498505, Expected=15.488258
Test Day=180, Predicted=15.496822, Expected=15.130093
Test Day=181, Predicted=15.133585, Expected=15.149452
